Object Name,RA(deg),DEC(deg),Velocity,Redshift,Distance,Best Mag OLD,Abs Mag OLD,Photometry/Distance Note,General Note,Best mag_g,Best mag_r,Best mag_z,New Abs Mag,g_new - g_old,NED RI Distance,NED RI stdev ,NED Name,Source,RA_SDSS,Dec_SDSS,z_SDSS,plate,fiberID,URL,SDSS Spectrum Filename,specObjID,Nucl/extra,RA_HI,DEC_HI,RA_AA oc,DEC_AA oc,HI_OC Offset,AA_cz,Name,HI position,OC position,HI FWHM,HI Flux,S/N,rms,AA Dist,HI Mass,Observed?,4M,MDM,Lick,Palomar,HET,check,StarSub Spectrum Name,Spectrum Quality,SpecQual Note,EXP Time,,,Choice,modelMag_g,modelMag_r,modelMag_z,petroMag_g,petroRad_g,petroMag_r,petroRad_r,petroMag_z,petroRad_z,B_modelMag_g,B_modeMag_r,B_modelMag_z,B_petroMag_g,B_petroMag_r,B_petroMag_z,modg diff,modr diff,modz diff,petg diff,petr diff,petz diff,E(B-V),(PC - MC) g,(PC - MC) r,(PC - MC) z,Spectra Obtained,S/N ok?,ssub ok?,"AGN candidate? (1=yes, 2=maybe)"
104634.95+134503.0,161.64564,13.750859,2967.02754,0.00989702,46.1455,12.673126,-20.64752078,BVK mag,,12.675351,11.94773,11.815325,-20.64529578,0.002225,43.6,,,SDSS,161.64564,13.750859,0.00989701971411705,1749,192,http://das.sdss.org/spectro/1d_26/1749/1d/spSpec-53357-1749-192.fit,492528901642256384.fit,492528901642256384,n,161.6475,13.75,161.6458333,13.75,5.828052708,3039,N3367,104635.4+134500,104635.0+134500,225(  2),18.14(0.10),110.4,2.44,46.1,9.96,,,,,,,,t492528901642256384_ssub.fits,,,,,,PC,13.262858,12.418041,11.783733,12.675351,51.872784,11.94773,53.039497,11.815325,39.366558,,,,,,,,,,,,,,-0.59,-0.47,0.03,,1,0,1
094024.06+145521.5,145.10029,14.92264,3821,0.012745,57.1269,13.289385,-20.49481829,-,,13.289385,12.489717,11.810007,-20.49481829,0,,,NGC 2954,SDSS,145.10038,14.922633,0.0127536999061704,2581,136,http://das.sdss.org/spectro/1d_26/2581/1d/spSpec-54085-2581-136.fit,726719208766832640.fit,726719208766832640,n,,,,,,,,,,,,,,,,observed,,,,,,,t726719208766832640_ssub.fits,,,,,,PC,13.207574,12.389552,11.673215,13.289385,17.788021,12.489717,16.807066,11.810007,14.973351,,,,,,,,,,,,,0.036,0.08,0.10,0.14,094024+145522.fits,1,0,2
103638.44+141015.9,159.16017,14.1711,3075,0.010257,47.0226,13.140723,-20.22081019,-,,13.170412,12.360839,11.774191,-20.19112119,0.029689,42.9,,NGC 3300,SDSS,159.16017,14.171103,0.0100870998576283,1748,378,http://das.sdss.org/spectro/1d_26/1748/1d/spSpec-53112-1748-378.fit,492246375178698752.fit,492246375178698752,n,,,,,,,,,,,,,,,,,,,,,,,t492246375178698752_ssub.fits,,,,,,PC,13.251457,12.451498,11.734052,13.170412,26.220922,12.360839,26.317184,11.774191,24.285337,,,,,,,,,,,,,,-0.08,-0.09,0.04,,1,1,0
114545.56+104928.5,176.43984,10.8246,3043,0.01015,47.8117,13.348463,-20.04920793,-,,13.354132,12.463796,11.687765,-20.04353893,0.005669,,,NGC 3869,SDSS,176.43984,10.82457,0.0100681995972991,1226,324,http://das.sdss.org/spectro/1d_26/1226/1d/spSpec-52734-1226-324.fit,345314813611606016.fit,345314813611606016,n,,,,,,,,,,,,,,,,,,,,,,,t345314813611606016_ssub.fits,,,,,,PC,13.44861,12.52937,11.740611,13.354132,15.324177,12.463796,14.763397,11.687765,13.946464,,,,,,,,,,,,,,-0.09,-0.07,-0.05,,1,0,1
113421.24+153937.4,173.58853,15.660405,5220.123107,0.017412599,78.4733,14.675372,-19.79823758,-,,14.68379,14.292768,14.00875,-19.78981958,0.008418,,,,SDSS,173.58853,15.660405,0.0174125991761684,1755,325,http://das.sdss.org/spectro/1d_26/1755/1d/spSpec-53386-1755-325.fit,494217876614414336.fit,494217876614414336,n,173.5879167,15.66083333,173.5883333,15.66027778,2.466992306,5191,097-012,113421.1+153939,113421.2+153937,315(  9),8.43(0.08),57.1,1.86,76.4,10.06,,,,,,,,t494217876614414336_ssub.fits,,,,,,PC,14.758877,14.313712,13.889913,14.68379,14.839501,14.292768,14.367414,14.00875,12.739608,,,,,,,,,,,,,,-0.08,-0.02,0.12,,1,1,0
111045.21+120058.1,167.68838,12.01614,3250,0.010841,50.9467,13.855383,-19.68019729,-,,13.830145,13.343768,13.749704,-19.70543529,-0.025238,36,0.707,NGC 3559,SDSS,167.68838,12.016143,0.0108663998544216,1604,475,http://das.sdss.org/spectro/1d_26/1604/1d/spSpec-53078-1604-475.fit,451713832910323712.fit,451713832910323712,n,167.6870833,12.01611111,167.6883333,12.01555556,4.834498084,3245,N3559,111044.9+120058,111045.2+120056,212(  7),5.78(0.08),41.1,2.15,49,9.51,,,,,,,,t451713832910323712_ssub.fits,,,,,,PC,13.810329,13.302663,12.95881,13.830145,33.164894,13.343768,33.818172,13.749704,25.535297,,,,,,,,,,,,,,0.02,0.04,0.79,,1,1,0
105203.87+100853.9,163.01613,10.14831,2720,0.009073,42.7076,13.495448,-19.65707783,-,,13.495448,12.726903,12.559898,-19.65707783,0,39.5,,NGC 3433,SDSS,163.01613,10.148311,0.00903993006795645,2885,452,http://das.sdss.org/spectro/1d_26/2885/1d/spSpec-54497-2885-452.fit,812289372538798080.fit,812289372538798080,n,163.01375,10.14777778,163.01625,10.14861111,9.35336258,2722,N3433,105203.3+100852,105203.9+100855,256(  1),28.15(0.12),123.3,2.82,41.6,10.06,,,,,,,,t812289372538798080_ssub.fits,,,,,,PC,13.665983,12.870387,12.232683,13.495448,58.939938,12.726903,60.785744,12.559898,48.27335,,,,,,,,,,,,,,-0.17,-0.14,0.33,,1,0,2
114706.35+134224.5,176.77647,13.706812,3118.805218,0.0104033,49.2941,13.981496,-19.48247871,-,,13.996632,13.423562,13.418515,-19.46734271,0.015136,,,,SDSS,176.77647,13.706812,0.0104032997041941,1761,55,http://das.sdss.org/spectro/1d_26/1761/1d/spSpec-53376-1761-055.fit,495906682392543232.fit,495906682392543232,n,176.77625,13.71055556,176.77625,13.70638889,15,3103,068-065,114706.3+134238,114706.3+134223,179(  2),8.26(0.07),67.2,1.88,46.9,9.63,,,,,,,,t495906682392543232_ssub.fits,,,,,,PC,14.011254,13.445211,13.098813,13.996632,32.563679,13.423562,32.35054,13.418515,24.369703,,,,,,,,,,,,,,-0.01,-0.02,0.32,,1,1,0
113701.89+153414.1,174.2579,15.57061,3968.050375,0.0132361,61.3027,14.573495,-19.36390301,-,,14.55506,13.929538,14.046878,-19.38233801,-0.018435,67.288,11.124,,SDSS,174.2579,15.57061,0.0132360998541117,1755,401,http://das.sdss.org/spectro/1d_26/1755/1d/spSpec-53386-1755-401.fit,494217876933181440.fit,494217876933181440,n,174.2595833,15.56916667,174.2579167,15.57055556,7.642405526,3956,097-028,113702.3+153409,113701.9+153414,257(  2),13.60(0.08),91.4,2.07,59,10.05,,,,,,,,t494217876933181440_ssub.fits,,,,,,PC,14.730673,14.049886,13.552141,14.55506,26.976315,13.929538,34.950321,14.046878,23.475597,,,,,,,,,,,,,,-0.18,-0.12,0.49,,1,1,0
095747.77+150732.1,149.44905,15.1256,3651,0.012178,55.0795,14.327499,-19.37745095,-,,14.327499,13.522431,12.964551,-19.37745095,0,,,CGCG 093-007,SDSS,149.44905,15.125604,0.0121719995513558,2584,460,http://das.sdss.org/spectro/1d_26/2584/1d/spSpec-54153-2584-460.fit,727563927113695232.fit,727563927113695232,n,149.4470833,15.12694444,149.44875,15.12527778,8.339585807,3641,093-007,095747.3+150737,095747.7+150731,299(  5),1.55(0.08),10.8,1.86,54.8,9.04,,,,,,,,t727563927113695232_ssub.fits,,,,,,PC,14.331943,13.525427,12.855407,14.327499,19.52212,13.522431,18.508121,12.964551,13.809835,,,,,,,,,,,,,,0.00,0.00,0.11,,1,0,1
