Theta	Offset	RA-SDSS	DEC-SDSS	PosErr-SDSS	RA-Galaxies	DEC-Galaxies	PosErr-Galaxies
 0.0	0.00	  151.463300	   12.961302	  6.00	  151.463300	   12.961300	  6.00
 0.0	0.00	  211.293310	   11.771370	  6.00	  211.293310	   11.771370	  6.00
 0.0	0.00	  222.177390	   12.457215	  6.00	  222.177390	   12.457220	  6.00
 0.0	0.00	  149.263520	   15.578267	  6.00	  149.263520	   15.578270	  6.00
 0.1	0.01	  143.774180	    9.649227	  6.00	  143.774180	    9.649200	  6.00
 0.0	0.00	  146.372370	    9.602897	  6.00	  146.372370	    9.602897	  6.00
 0.1	0.01	  145.874190	    9.420788	  6.00	  145.874190	    9.420770	  6.00
 0.0	0.00	  146.689910	    9.264365	  6.00	  146.689900	    9.264370	  6.00
 0.0	0.00	  233.743920	   11.750287	  6.00	  233.743920	   11.750290	  6.00
 0.0	0.00	  240.074260	   15.756570	  6.00	  240.074260	   15.756570	  6.00
 0.0	0.00	  237.135830	    8.587928	  6.00	  237.135830	    8.587930	  6.00
 0.0	0.00	  242.398710	    8.956702	  6.00	  242.398710	    8.956700	  6.00
 0.0	0.00	  233.846720	   12.047599	  6.00	  233.846720	   12.047600	  6.00
 0.0	0.00	  212.672290	   13.557996	  6.00	  212.672290	   13.558000	  6.00
 0.1	0.01	  172.100050	    9.407597	  6.00	  172.100050	    9.407630	  6.00
 0.0	0.00	  177.467180	    6.667742	  6.00	  177.467180	    6.667740	  6.00
 0.0	0.00	  150.188370	    4.734323	  6.00	  150.188370	    4.734320	  6.00
 0.0	0.00	  241.117430	   14.782429	  6.00	  241.117430	   14.782430	  6.00
 0.0	0.00	  237.445590	   12.399336	  6.00	  237.445590	   12.399340	  6.00
 0.0	0.00	  120.481190	   11.720343	  6.00	  120.481190	   11.720340	  6.00
 0.0	0.00	  239.533240	   12.070290	  6.00	  239.533240	   12.070290	  6.00
 0.0	0.00	  138.671300	   15.461958	  6.00	  138.671300	   15.461960	  6.00
 0.0	0.00	  119.917160	   15.386817	  6.00	  119.917160	   15.386820	  6.00
 0.0	0.00	  217.242630	   13.861881	  6.00	  217.242630	   13.861880	  6.00
 0.0	0.00	  143.442050	   10.152503	  6.00	  143.442050	   10.152503	  6.00
 0.0	0.00	  243.236910	    9.867108	  6.00	  243.236910	    9.867110	  6.00
 0.0	0.00	  141.447210	   11.424577	  6.00	  141.447210	   11.424580	  6.00
 0.0	0.00	  235.816780	    9.723961	  6.00	  235.816780	    9.723960	  6.00
 0.0	0.00	  161.645640	   13.750859	  6.00	  161.645640	   13.750859	  6.00
 0.0	0.00	  213.709890	   15.146890	  6.00	  213.709890	   15.146890	  6.00
 0.0	0.00	  168.654150	   12.817670	  6.00	  168.654150	   12.817670	  6.00
 0.0	0.00	  120.168920	   12.063836	  6.00	  120.168920	   12.063836	  6.00
 0.0	0.00	  242.066990	   10.108685	  6.00	  242.066990	   10.108685	  6.00
 0.0	0.00	  170.070890	   13.589687	  6.00	  170.070890	   13.589687	  6.00
 0.1	0.01	  148.825280	    4.270014	  6.00	  148.825260	    4.270020	  6.00
 0.0	0.01	  134.954370	    5.060853	  6.00	  134.954360	    5.060860	  6.00
 0.0	0.00	  218.288380	   10.510806	  6.00	  218.288380	   10.510810	  6.00
 0.0	0.00	  120.493720	   15.058754	  6.00	  120.493720	   15.058750	  6.00
 2.2	0.26	  210.060410	    8.967057	  6.00	  210.060830	    8.967500	  6.00
 0.0	0.00	  120.414490	   10.732722	  6.00	  120.414490	   10.732720	  6.00
 0.8	0.09	  213.614140	   15.611756	  6.00	  213.613920	   15.611780	  6.00
 0.0	0.00	  139.669270	   13.829488	  6.00	  139.669270	   13.829490	  6.00
 0.0	0.00	  175.415560	   15.965716	  6.00	  175.415560	   15.965720	  6.00
 0.0	0.00	  211.149840	   15.472788	  6.00	  211.149840	   15.472788	  6.00
 0.0	0.00	  232.503480	   12.989325	  6.00	  232.503480	   12.989325	  6.00
 0.0	0.00	  147.003310	    9.970959	  6.00	  147.003300	    9.970960	  6.00
 0.1	0.01	  176.474020	    9.899755	  6.00	  176.474030	    9.899780	  6.00
 0.0	0.00	  161.290970	   15.449847	  6.00	  161.290970	   15.449847	  6.00
 0.0	0.00	  165.320610	    6.072720	  6.00	  165.320610	    6.072730	  6.00
 0.0	0.00	  130.896360	   13.062973	  6.00	  130.896360	   13.062973	  6.00
 0.3	0.03	  169.536340	    4.616186	  6.00	  169.536370	    4.616110	  6.00
 0.0	0.00	  225.570090	    6.344872	  6.00	  225.570090	    6.344870	  6.00
 0.0	0.01	  217.968670	    8.933013	  6.00	  217.968670	    8.933000	  6.00
 0.0	0.00	  144.258510	    9.102689	  6.00	  144.258510	    9.102690	  6.00
 0.1	0.01	  218.389770	   12.783690	  6.00	  218.389750	   12.783690	  6.00
 0.1	0.01	  140.248400	   11.059226	  6.00	  140.248420	   11.059220	  6.00
 0.0	0.00	  127.714400	   12.501063	  6.00	  127.714400	   12.501063	  6.00
 0.1	0.01	  242.071940	    7.538508	  6.00	  242.071960	    7.538500	  6.00
 0.0	0.00	  159.347330	   12.156560	  6.00	  159.347330	   12.156560	  6.00
