ra,dec,z,specObjID,d (Mpc),,dr8->,modelMag_g,modelMag_r,modelMag_i,petroMag_g,petroMag_r,petroMag_i,petroRad_g,petroRad_r,petroRad_i,cModelMag_g,cModelMag_r,cModelMag_i,dr7 ->,Br_model_g,Br_model_r,Br_model_i,Br_petro_g,Br_petro_r,Br_petro_i,0.00,log M* (dr7),log M* (dr8),max M*,,F(4686),F(4861),F(5007),F(6300),F(6563),F(6583),F(6716),F(6731),A/N(4686),A/N(4861),A/N(5007),A/N(6300),A/N(6563),A/N(6583),A/N(6716),A/N(6731),sigma(5007),sigma(6563),sigma(6583),v(5007),v(6563),v(6583),,log [OIII]/Hb,log [NII]/Ha,log [SII]/Ha,log [OI]/Ha,,[NII]/Ha test,[SII]/Ha test,[OI]/Ha test
152.39861,26.946947,0.0143496,660852656809443328,64.11,,,16.73,16.27,16.07,16.93,16.43,16.18,4.39,5.15,5.28,16.89,16.31,16.07,,16.75,16.31,16.09,16.96,16.45,16.20,,9.25,9.25,9.25,,90.85,333.92,3028.22,232.28,1199.78,276.94,240.03,186.33,22.92,81.20,793.10,44.70,216.12,51.01,43.33,33.57,36.27,49.90,46.69,4356.94,4357.17,4363.32,,0.96,-0.64,-0.45,-0.71,,0.55,0.59,5.56
186.45361,33.546871,0.00104037,567403229969645568,3.73,,,14.22,13.73,13.75,14.24,13.70,13.95,47.84,65.46,39.74,14.41,13.90,13.99,,14.55,14.01,13.72,14.58,14.21,13.84,,7.61,7.70,7.70,,815.23,3390.24,26916.40,1843.68,13849.57,2783.27,2088.45,2486.90,54.19,217.22,1987.16,117.64,657.30,169.96,125.01,148.54,69.26,91.11,58.91,408.15,402.40,411.36,,0.90,-0.70,-0.48,-0.88,,0.42,0.50,2.12
151.4633,12.961302,0.00934167,491120231318552576,43.29,,,14.89,14.14,13.76,15.03,14.27,13.90,11.63,11.32,11.41,14.94,14.21,13.80,,14.99,14.24,13.87,15.06,14.34,13.95,,10.00,10.04,10.04,,74.82,354.89,2712.85,416.34,1961.66,1506.14,546.25,530.64,9.56,43.70,308.38,38.19,178.93,132.20,47.00,45.56,88.02,81.49,86.04,2875.08,2881.61,2883.58,,0.88,-0.11,-0.26,-0.67,,3.29,0.82,8.33
167.30165,61.396325,0.00671639,218367713561542656,33.30,,,15.50,15.13,14.95,15.48,15.20,15.12,22.20,21.69,20.28,15.40,15.10,14.95,,15.51,15.15,14.98,15.50,15.21,15.16,,8.91,8.92,8.92,,18.97,91.42,614.78,40.34,322.86,70.81,91.43,70.94,4.01,18.64,140.64,6.17,48.77,10.37,13.12,10.16,55.27,73.11,76.65,2096.30,2096.27,2101.00,,0.83,-0.66,-0.30,-0.90,,0.39,0.69,1.83
122.93876,23.473812,0.015773799,446083753941401600,67.42,,,16.94,16.32,16.01,17.08,16.44,16.12,4.06,4.21,4.30,16.98,16.34,15.99,,16.95,16.32,16.00,17.09,16.44,16.11,,9.45,9.44,9.45,,10.52,82.50,465.50,52.29,308.51,88.58,78.96,72.00,2.12,16.01,97.72,7.93,44.36,12.86,11.24,10.22,65.31,78.75,77.15,4752.63,4761.29,4773.79,,0.75,-0.54,-0.31,-0.77,,0.48,0.59,3.46
130.10645,18.316394,0.0149542,641430685801775104,64.86,,,16.84,16.17,15.86,16.96,16.29,16.00,7.96,7.63,7.42,16.85,16.17,15.87,,16.84,16.17,15.86,16.96,16.29,16.00,,9.48,9.48,9.48,,14.01,101.44,523.30,21.25,315.32,69.70,73.58,51.37,4.48,31.23,170.80,5.30,71.91,16.64,17.22,12.00,33.13,45.12,38.61,4548.52,4541.59,4556.31,,0.71,-0.66,-0.40,-1.17,,0.28,0.41,0.64
211.29331,11.77137,0.0174629,479582952422899712,80.60,,,16.31,15.79,15.54,16.51,15.94,15.68,6.93,7.79,7.83,16.41,15.79,15.49,,16.30,15.78,15.52,16.49,15.92,15.65,,9.72,9.71,9.72,,12.80,80.09,364.39,54.43,304.67,131.62,105.88,76.48,2.95,17.78,81.59,9.52,50.10,22.03,17.37,12.52,39.50,44.52,41.78,5262.29,5258.29,5264.27,,0.66,-0.36,-0.22,-0.75,,0.83,0.68,3.95
222.17739,12.457215,0.00599776,482677982603771904,31.60,,,13.88,13.21,12.90,13.91,13.29,13.03,23.31,19.23,16.10,13.77,13.21,12.98,,14.04,13.37,13.03,14.01,13.42,13.12,,9.94,10.00,10.00,,11.38,172.49,709.82,80.66,587.08,499.49,160.23,115.50,1.07,15.66,62.22,5.66,39.47,33.53,10.54,7.58,66.20,65.53,65.35,1866.39,1863.18,1869.97,,0.61,-0.07,-0.33,-0.86,,4.39,0.43,1.97
181.94214,43.126354,0.00311385,408366866373804032,18.50,,,13.51,12.74,12.33,13.59,12.82,12.43,20.41,19.78,19.79,13.49,12.78,12.37,,13.63,12.85,12.44,13.66,12.87,12.49,,9.90,9.90,9.90,,53.36,784.64,3140.76,851.42,3184.56,1299.42,1322.47,1029.09,4.57,64.81,248.44,52.45,194.84,76.60,76.42,59.34,83.25,81.49,85.88,1044.55,1030.13,1038.24,,0.60,-0.39,-0.13,-0.57,,0.69,0.90,43.43
147.42168,32.221106,0.00512823,547979795619643392,26.23,,,14.17,13.48,13.16,14.23,13.55,13.24,10.84,12.37,13.57,14.17,13.49,13.16,,14.13,13.51,13.20,14.16,13.57,13.27,,9.72,9.81,9.81,,97.97,583.24,2024.92,271.79,2133.45,765.38,602.53,523.78,9.74,55.89,190.52,19.28,151.43,51.96,40.09,34.78,58.24,59.61,64.71,1596.98,1597.78,1612.65,,0.54,-0.45,-0.28,-0.89,,0.47,0.45,1.61
186.27336,5.3291016,0.00666981,810882049408761856,13.90,,,15.17,14.47,14.12,15.29,14.62,14.26,10.82,10.73,10.68,15.19,14.52,14.19,,15.14,14.46,14.10,15.28,14.60,14.26,,8.85,8.84,8.85,,21.87,113.92,358.56,33.04,396.07,113.76,137.84,93.95,3.20,16.08,50.72,3.87,41.40,12.75,15.14,10.30,59.58,63.51,54.57,2049.81,2050.80,2053.59,,0.50,-0.54,-0.23,-1.08,,0.23,0.50,0.66
177.80597,50.1569,0.00311875,272692886900834304,18.66,,,13.15,12.47,12.11,13.24,12.57,12.23,33.04,31.19,30.71,13.10,12.51,12.17,,13.38,12.70,12.32,13.41,12.70,12.34,,9.90,9.91,9.91,,32.54,272.13,831.02,58.17,946.37,324.85,388.28,251.64,3.33,26.81,86.99,4.57,69.05,24.44,28.64,18.52,55.16,66.28,62.11,1008.94,1005.33,1014.77,,0.48,-0.46,-0.17,-1.21,,0.37,0.65,0.33
207.85573,40.213272,0.00822398,388100414794366976,41.33,,,15.01,14.45,14.25,14.99,14.39,14.14,18.56,20.29,20.47,15.12,14.45,14.14,,15.04,14.55,14.33,15.04,14.45,14.20,,9.74,9.77,9.77,,103.32,1985.38,5619.96,432.76,7268.46,2455.73,1427.13,1326.22,12.20,225.91,546.91,39.26,612.65,213.21,121.45,112.63,107.78,90.36,86.06,2536.19,2534.41,2549.45,,0.45,-0.47,-0.42,-1.23,,0.32,0.12,0.27
