Theta	Offset	RA-SDSS	DEC-SDSS	PosErr-SDSS	RA-ROSAT	DEC-ROSAT	PosErr-ROSAT
203.2	3.82	    4.393870	   72.203390	  1.00	    4.571750	   72.188290	 53.18
112.4	3.23	   98.179630	   74.019100	  1.00	   98.267660	   74.038790	 34.81
150.4	3.99	  213.007350	   74.298230	  1.00	  213.091050	   74.333360	 37.73
135.2	3.73	  123.754400	   66.427090	  1.00	  123.804260	   66.458910	 36.22
108.0	3.51	  267.766080	   67.168830	  1.00	  267.733000	   67.195940	 30.76
173.0	3.58	  280.845520	   66.889280	  1.00	  280.734470	   66.869090	 48.35
130.7	3.66	  289.353940	   67.057050	  1.00	  289.388400	   67.090770	 35.69
34.4	2.67	  284.502500	   65.197290	  1.00	  284.485900	   65.190740	 12.83
34.4	2.77	  284.485900	   65.190740	  1.00	  284.502500	   65.197290	 12.40
45.3	3.93	  284.485900	   65.190740	  1.00	  284.487640	   65.178170	 11.48
45.3	3.52	  284.487640	   65.178170	  1.00	  284.485900	   65.190740	 12.83
87.8	3.45	  256.142360	   63.274190	  1.00	  256.190280	   63.262800	 25.42
87.8	3.42	  256.190280	   63.262800	  1.00	  256.142360	   63.274190	 25.63
104.8	3.76	  286.618440	   64.455920	  1.00	  286.551060	   64.454250	 27.86
170.3	3.82	  170.780650	   56.036600	  1.00	  170.719960	   56.069600	 44.57
67.8	3.55	  223.288930	   58.187110	  1.00	  223.304400	   58.170130	 19.07
67.8	3.39	  223.304400	   58.170130	  1.00	  223.288930	   58.187110	 19.96
92.6	2.64	  273.695190	   55.292790	  1.00	  273.716710	   55.315410	 35.13
84.6	2.40	  137.419880	   51.520300	  1.00	  137.457200	   51.523990	 35.31
89.5	3.39	  146.709470	   49.783260	  1.00	  146.678410	   49.768580	 26.36
150.8	2.78	  176.862690	   49.717420	  1.00	  176.798130	   49.721010	 54.19
153.7	0.66	   13.212170	   43.605100	  1.00	   13.183490	   43.642400	232.38
83.2	2.27	   35.909990	   44.340800	  1.00	   35.878420	   44.335920	 36.63
83.2	1.63	   35.878420	   44.335920	  1.00	   35.909990	   44.340800	 50.93
124.9	3.38	   90.806850	   42.211050	  1.00	   90.832150	   42.181860	 36.93
109.5	2.95	  120.675000	   45.154050	  1.00	  120.655300	   45.126980	 37.11
17.8	1.48	  126.062970	   44.949590	  1.00	  126.058770	   44.945630	 12.04
17.8	2.32	  126.058770	   44.945630	  1.00	  126.062970	   44.949590	  7.61
220.0	2.44	  138.272110	   47.710100	  1.00	  138.362670	   47.714680	 89.97
174.7	3.16	  211.261030	   47.130080	  1.00	  211.225660	   47.087930	 55.33
113.6	3.65	   10.849520	   41.105020	  1.00	   10.810270	   41.116060	 31.14
113.6	2.88	  106.290260	   42.168800	  1.00	  106.320890	   42.190720	 39.40
61.1	3.47	  117.555110	   37.449260	  1.00	  117.564980	   37.434190	 17.61
105.9	2.53	  128.340230	   39.024420	  1.00	  128.372280	   39.008780	 41.81
150.8	1.57	  171.185650	   38.769270	  1.00	  171.190830	   38.727580	 96.18
101.7	1.51	  217.288390	   38.258200	  1.00	  217.261440	   38.276930	 67.50
146.7	3.30	  233.255480	   41.810140	  1.00	  233.309690	   41.804930	 44.47
145.7	2.95	  250.895520	   39.891410	  1.00	  250.865460	   39.858150	 49.44
24.5	1.54	  263.076600	   39.934480	  1.00	  263.085170	   39.932690	 15.85
24.5	1.21	  263.085170	   39.932690	  1.00	  263.076600	   39.934480	 20.30
92.3	3.68	  264.089080	   39.713340	  1.00	  264.055910	   39.710840	 25.09
144.9	3.71	  326.261410	   36.810490	  1.00	  326.265720	   36.850590	 39.03
139.4	3.81	   32.784990	   30.945560	  1.00	   32.777600	   30.907370	 36.61
66.9	3.08	   45.729450	   32.522960	  1.00	   45.739810	   32.506570	 21.66
 0.1	0.02	   97.802010	   30.937520	  1.00	   97.801990	   30.937490	  6.44
95.7	3.75	  210.607880	   33.012970	  1.00	  210.621250	   33.037060	 25.49
98.0	3.47	  226.126660	   35.957850	  1.00	  226.158870	   35.950020	 28.26
197.0	1.29	   14.717630	   26.899700	  1.00	   14.658080	   26.912950	153.13
165.8	2.49	   18.941550	   25.336410	  1.00	   18.972670	   25.299930	 66.59
94.3	3.55	   53.093090	   29.511820	  1.00	   53.115920	   29.494730	 26.55
94.3	3.84	   53.115920	   29.494730	  1.00	   53.093090	   29.511820	 24.52
 0.1	0.02	   97.801990	   30.937490	  1.00	   97.802010	   30.937520	  6.45
122.8	0.62	  111.604850	   29.402080	  1.00	  111.572360	   29.383040	198.29
236.4	3.10	  133.422360	   26.494520	  1.00	  133.378590	   26.547230	 76.17
35.4	1.46	  175.846280	   25.314610	  1.00	  175.849560	   25.305240	 24.21
139.1	3.85	  185.706600	   29.605370	  1.00	  185.686650	   29.570830	 36.15
44.8	1.30	  197.870730	   25.314090	  1.00	  197.858290	   25.308740	 34.54
93.4	2.54	  355.224850	   27.508010	  1.00	  355.246890	   27.525070	 36.80
35.4	1.28	  175.849560	   25.305240	  1.00	  175.846280	   25.314610	 27.66
44.8	1.42	  197.858290	   25.308740	  1.00	  197.870730	   25.314090	 31.54
107.3	2.30	  195.274830	   22.298660	  1.00	  195.278880	   22.328240	 46.74
131.8	3.30	  232.410520	   20.653210	  1.00	  232.381180	   20.628980	 39.90
108.3	1.63	  239.694930	   23.862780	  1.00	  239.712430	   23.888270	 66.33
153.6	2.26	   73.272330	   14.896270	  1.00	   73.243450	   14.863990	 67.94
107.4	3.23	  106.091880	   18.069250	  1.00	  106.118460	   18.085110	 33.25
115.3	2.12	  174.854970	   17.873680	  1.00	  174.841980	   17.903220	 54.41
45.4	2.14	  188.568890	   15.234980	  1.00	  188.581670	   15.237610	 21.18
45.4	1.35	  188.581670	   15.237610	  1.00	  188.568890	   15.234980	 33.64
259.5	3.68	  224.663990	   19.139560	  1.00	  224.701100	   19.076580	 70.43
87.3	2.02	  259.566350	   15.964280	  1.00	  259.577270	   15.942420	 43.15
87.3	1.29	  259.577270	   15.942420	  1.00	  259.566350	   15.964280	 67.49
330.0	1.41	  206.549030	   12.521080	  1.00	  206.479930	   12.583140	234.21
107.8	2.13	   21.542610	    5.011410	  1.00	   21.568450	    5.026690	 50.69
98.3	3.22	   76.277180	    6.132380	  1.00	   76.301060	    6.118890	 30.48
117.4	2.62	   87.722920	    7.478510	  1.00	   87.693620	    7.463700	 44.85
93.3	3.92	  254.355480	    5.021870	  1.00	  254.365590	    5.045760	 23.80
31.7	1.00	  337.499110	    4.425190	  1.00	  337.505740	    4.419370	 31.66
31.7	0.81	  337.505740	    4.419370	  1.00	  337.499110	    4.425190	 39.31
136.2	2.74	   15.094590	   -1.405390	  1.00	   15.132210	   -1.409630	 49.68
62.2	1.76	  151.870380	   -2.148650	  1.00	  151.887050	   -2.144090	 35.35
53.6	3.56	  157.498340	   -0.784010	  1.00	  157.511640	   -0.790720	 15.02
62.2	1.36	  151.887050	   -2.144090	  1.00	  151.870380	   -2.148650	 45.56
53.6	1.52	  157.511640	   -0.790720	  1.00	  157.498340	   -0.784010	 35.36
91.6	2.31	  193.761930	    2.619800	  1.00	  193.778120	    2.600170	 39.68
91.6	1.81	  193.778120	    2.600170	  1.00	  193.761930	    2.619800	 50.62
239.6	2.89	  192.610790	   -2.379050	  1.00	  192.629000	   -2.315030	 82.91
77.8	2.76	  205.530460	    2.230340	  1.00	  205.510560	    2.221900	 28.11
77.8	3.37	  205.510560	    2.221900	  1.00	  205.530460	    2.230340	 23.05
17.7	2.04	  225.298650	    1.699220	  1.00	  225.300550	    1.694680	  8.61
17.7	2.91	  225.300550	    1.694680	  1.00	  225.298650	    1.699220	  6.00
144.6	3.49	  344.862550	    1.307800	  1.00	  344.830200	    1.284000	 41.44
245.9	2.96	    8.674620	   -7.109990	  1.00	    8.607220	   -7.096060	 83.08
274.7	2.07	   34.877930	   -5.946450	  1.00	   34.900530	   -6.019380	132.56
160.4	3.79	  217.491880	   -4.290700	  1.00	  217.511120	   -4.250490	 42.34
107.7	3.27	  316.215480	   -6.283910	  1.00	  316.199340	   -6.309160	 32.93
92.0	1.62	   25.470240	  -12.636360	  1.00	   25.444040	  -12.636100	 56.86
187.8	3.34	   86.515910	   -8.734700	  1.00	   86.502460	   -8.684260	 56.17
86.1	2.25	  185.101670	   -8.494820	  1.00	  185.078900	   -8.502870	 38.24
86.1	2.24	  185.078900	   -8.502870	  1.00	  185.101670	   -8.494820	 38.38
94.7	3.76	   31.587660	  -16.897390	  1.00	   31.614970	  -16.900450	 25.15
94.7	3.44	   31.614970	  -16.900450	  1.00	   31.587660	  -16.897390	 27.48
93.2	3.21	   67.048200	  -15.846480	  1.00	   67.037340	  -15.870170	 29.02
93.2	3.81	   67.037340	  -15.870170	  1.00	   67.048200	  -15.846480	 24.45
126.3	3.87	  205.541950	  -16.006120	  1.00	  205.573840	  -16.023210	 32.60
171.2	3.67	  244.742770	  -15.312240	  1.00	  244.698260	  -15.332730	 46.59
153.8	3.30	  244.656460	  -15.318570	  1.00	  244.698260	  -15.332730	 46.59
171.2	3.39	  244.698260	  -15.332730	  1.00	  244.742770	  -15.312240	 50.46
153.8	3.10	  244.698260	  -15.332730	  1.00	  244.656460	  -15.318570	 49.61
250.5	3.99	  244.510890	  -15.430120	  1.00	  244.576290	  -15.459600	 62.85
126.0	3.63	  244.656010	  -15.466740	  1.00	  244.634700	  -15.495070	 34.68
119.5	3.47	  244.656010	  -15.466740	  1.00	  244.663390	  -15.499160	 34.44
239.5	3.81	  244.634700	  -15.495070	  1.00	  244.576290	  -15.459600	 62.85
126.0	3.23	  244.634700	  -15.495070	  1.00	  244.656010	  -15.466740	 38.98
100.6	2.92	  244.634700	  -15.495070	  1.00	  244.663390	  -15.499160	 34.44
67.7	2.00	  244.634700	  -15.495070	  1.00	  244.640300	  -15.513090	 33.85
172.7	3.09	  244.344510	  -15.497650	  1.00	  244.393310	  -15.507200	 55.96
173.7	3.62	  244.344510	  -15.497650	  1.00	  244.357850	  -15.544170	 48.01
119.5	3.06	  244.663390	  -15.499160	  1.00	  244.656010	  -15.466740	 38.98
100.6	2.90	  244.663390	  -15.499160	  1.00	  244.634700	  -15.495070	 34.68
94.5	2.79	  244.663390	  -15.499160	  1.00	  244.640300	  -15.513090	 33.85
172.7	3.81	  244.393310	  -15.507200	  1.00	  244.344510	  -15.497650	 45.38
107.3	2.67	  244.393310	  -15.507200	  1.00	  244.413940	  -15.529400	 40.22
181.2	3.77	  244.393310	  -15.507200	  1.00	  244.357850	  -15.544170	 48.01
67.7	1.95	  244.640300	  -15.513090	  1.00	  244.634700	  -15.495070	 34.68
94.5	2.74	  244.640300	  -15.513090	  1.00	  244.663390	  -15.499160	 34.44
107.3	1.92	  244.413940	  -15.529400	  1.00	  244.393310	  -15.507200	 55.96
173.7	3.83	  244.357850	  -15.544170	  1.00	  244.344510	  -15.497650	 45.38
181.2	3.24	  244.357850	  -15.544170	  1.00	  244.393310	  -15.507200	 55.96
204.8	3.01	  244.660950	  -15.658920	  1.00	  244.623260	  -15.615110	 67.95
119.0	2.36	  244.660950	  -15.658920	  1.00	  244.671490	  -15.690370	 50.32
119.0	2.53	  244.671490	  -15.690370	  1.00	  244.660950	  -15.658920	 47.06
173.8	3.38	  244.671490	  -15.690370	  1.00	  244.671300	  -15.738660	 51.39
173.8	3.45	  244.671300	  -15.738660	  1.00	  244.671490	  -15.690370	 50.32
154.0	2.78	  244.390320	  -15.888660	  1.00	  244.360000	  -15.919950	 55.47
154.0	2.62	  244.360000	  -15.919950	  1.00	  244.390320	  -15.888660	 58.78
90.8	2.74	   20.439200	  -20.446330	  1.00	   20.455920	  -20.426550	 33.14
91.9	3.16	   23.825510	  -22.061040	  1.00	   23.833780	  -22.036690	 29.06
124.4	3.67	   82.652510	  -22.443880	  1.00	   82.615130	  -22.444190	 33.92
139.8	1.37	  324.739990	  -21.245630	  1.00	  324.709320	  -21.271920	102.28
179.7	3.97	  351.348080	  -25.022980	  1.00	  351.353330	  -25.072680	 45.31
146.9	3.70	   47.842670	  -26.917560	  1.00	   47.836310	  -26.877150	 39.70
85.7	2.15	   47.149800	  -27.947860	  1.00	   47.122850	  -27.948040	 39.86
85.7	3.98	   47.122850	  -27.948040	  1.00	   47.149800	  -27.947860	 21.51
117.0	3.13	   49.537500	  -29.659690	  1.00	   49.507710	  -29.640040	 37.42
24.8	2.73	  211.868960	  -27.015020	  1.00	  211.868440	  -27.021900	  9.05
24.8	2.51	  211.868440	  -27.021900	  1.00	  211.868960	  -27.015020	  9.83
95.6	3.99	  328.941100	  -27.003880	  1.00	  328.925260	  -26.981370	 23.96
132.7	2.81	   17.566860	  -33.635030	  1.00	   17.606480	  -33.651460	 47.22
143.4	3.28	   33.670180	  -36.537120	  1.00	   33.676190	  -36.576650	 43.74
 1.5	0.05	   71.999880	  -34.107710	  1.00	   72.000370	  -34.107780	 28.19
 1.5	0.05	   72.000370	  -34.107780	  1.00	   71.999880	  -34.107710	 29.11
126.9	3.35	   66.948080	  -39.397150	  1.00	   66.924010	  -39.427080	 37.87
214.7	3.50	  357.664460	  -38.456150	  1.00	  357.738620	  -38.442560	 61.30
195.7	1.63	   21.534330	  -44.380120	  1.00	   21.471970	  -44.411240	119.95
235.9	2.83	   17.519550	  -45.928670	  1.00	   17.437020	  -45.897070	 83.38
21.6	1.33	   82.496070	  -46.839980	  1.00	   82.504850	  -46.839930	 16.26
21.6	1.04	   82.504850	  -46.839930	  1.00	   82.496070	  -46.839980	 20.84
79.7	1.67	  106.682050	  -44.787790	  1.00	  106.705770	  -44.802150	 47.78
79.7	1.62	  106.705770	  -44.802150	  1.00	  106.682050	  -44.787790	 49.18
101.8	3.03	  184.813050	  -47.796040	  1.00	  184.831450	  -47.821460	 33.54
 9.7	1.41	  348.493800	  -42.730800	  1.00	  348.490510	  -42.731960	  6.79
 9.7	1.36	  348.490510	  -42.731960	  1.00	  348.493800	  -42.730800	  7.04
123.2	3.01	   88.794060	  -48.862740	  1.00	   88.801220	  -48.828830	 40.98
115.1	3.07	  111.614230	  -52.553140	  1.00	  111.561920	  -52.549860	 37.53
93.5	3.86	  177.851880	  -50.690050	  1.00	  177.814410	  -50.700600	 24.20
93.5	3.17	  177.814410	  -50.700600	  1.00	  177.851880	  -50.690050	 29.51
39.2	1.28	   18.443240	  -55.071050	  1.00	   18.462240	  -55.070510	 30.55
 8.6	0.58	   27.690550	  -54.832410	  1.00	   27.694120	  -54.833650	 14.80
39.2	1.40	   18.462240	  -55.070510	  1.00	   18.443240	  -55.071050	 28.03
 8.6	0.50	   27.694120	  -54.833650	  1.00	   27.690550	  -54.832410	 17.21
121.2	2.78	  138.692310	  -62.695140	  1.00	  138.761760	  -62.706030	 43.63
91.7	3.87	   99.992290	  -68.541970	  1.00	   99.923450	  -68.538100	 23.68
95.9	3.46	  295.115080	  -74.648750	  1.00	  295.191990	  -74.665940	 27.72
95.9	3.02	  295.191990	  -74.665940	  1.00	  295.115080	  -74.648750	 31.79
