ra,dec
120.6028,9.41356
210.55432,8.03711
119.20277,7.47795
120.40504,15.70974
209.37346,6.09701
232.50348,12.989325
147.47814,9.1635
161.95667,12.58164
144.74662,6.95544
176.45442,13.76669
235.37667,15.78767
209.55358,6.51818
170.06243,12.99152
120.4884,8.55188
221.12233,5.17625
243.23691,9.86711
209.56206,6.25869
161.64564,13.750859
213.06588,15.84191
176.27302,8.46951
141.42724,11.43214
134.71029,6.293
217.24263,13.86188
211.25079,13.13189
213.70989,15.14689
217.71244,13.96852
239.37787,15.95605
155.93317,12.56777
145.10029,14.92264
210.51467,9.92931
215.41874,13.23239
138.82069,11.88569
213.55583,15.622408
213.71682,14.12587
143.44205,10.152503
120.34638,15.36926
239.53324,12.07029
242.64312,10.04037
204.38342,8.88518
120.70681,15.80828
146.5715,5.7088
146.51476,4.40345
138.3983,12.44081
175.05629,15.34236
121.6999,5.3094
210.5733,7.68417
241.36177,15.02534
147.77513,9.0086
218.10725,8.07864
131.4981,12.619904
119.91716,15.38682
159.16017,14.1711
209.03004,5.25477
120.37821,9.70764
137.58383,7.03794
210.84644,9.4480892
215.95633,14.63877
212.25965,14.317005
154.5822,7.04931
125.67165,4.26243
117.85915,14.02046
245.91184,11.78624
125.14475,4.61583
176.43984,10.8246
198.16612,12.59975
138.6713,15.46196
213.13215,13.304739
209.60329,6.07128
241.05594,13.74402
234.62488,12.18661
237.44559,12.39934
240.33325,8.83594
209.59307,6.3391
237.13583,8.58793
211.78415,12.58809
217.63562,14.024417
130.66585,14.28562
241.99317,10.779589
141.44721,11.42458
210.64253,14.55254
211.50509,12.78332
219.79617,5.36348
131.31588,9.6455
151.22461,5.06264
120.85637,10.05053
121.02439,5.11384
209.55832,5.40828
173.58853,15.660405
162.82393,13.94599
178.98836,6.74894
121.74428,8.00394
120.98492,8.69964
144.53287,9.52392
168.48542,12.30106
133.98084,13.22969
239.37406,15.87262
120.15632,13.69735
146.4228,4.94185
211.15813,11.64575
140.21144,13.19114
124.90404,4.65722
120.47549,9.62586
167.68838,12.01614
177.46718,6.66774
245.71686,11.371011
163.01613,10.14831
241.85459,10.42581
246.69451,11.58027
143.51159,10.108707
149.7345,14.41878
220.42897,5.95276
150.35809,15.77007
124.42375,4.61
147.40414,9.00521
239.62758,13.999187
198.29191,9.69058
211.14984,15.472788
241.80415,7.97899
120.5445,9.48599
212.04729,5.81156
215.62824,11.30488
120.56252,9.39441
233.63496,15.19378
149.48624,10.432454
150.13328,4.40707
143.02592,8.44177
176.36112,9.16071
230.48567,5.07053
215.54464,13.91806
240.45717,8.14828
238.98917,5.93189
142.376,7.71883
148.82526,4.27002
134.25454,13.19911
176.77647,13.706812
172.10005,9.40763
120.15297,15.6842
145.22473,5.16581
209.59568,14.45734
162.11629,12.53319
120.48119,11.72034
177.11471,12.72731
218.28838,10.51081
173.54865,12.51231
130.73494,13.64159
210.95251,15.4023
149.17745,15.63773
212.11668,15.920934
213.05299,15.86889
161.69058,11.81994
211.20612,11.39551
241.13229,14.81914
143.698,10.28371
153.21042,12.66667
212.24721,14.758197
210.2872,8.58369
149.44905,15.1256
212.67229,13.558
174.2579,15.57061
152.44284,5.17294
233.84672,12.0476
125.74735,4.27646
241.2076,8.48109
213.61392,15.61178
161.92283,11.077074
146.09787,11.23131
175.0391,15.3273
169.37573,4.55557
120.41449,10.73272
151.09361,13.62121
139.66927,13.82949
233.74392,11.75029
243.56632,9.53719
120.02622,13.15212
150.18837,4.73432
164.65653,9.05045
120.08741,11.31945
209.66067,7.21656
159.29258,12.65247
158.5825,13.75458
120.49372,15.05875
126.10763,4.24768
168.77586,14.78702
241.11743,14.78243
174.30635,15.43253
137.34398,15.79616
135.53504,8.30166
175.41556,15.96572
213.0658,15.87934
210.06083,8.9675
162.23482,14.21983
220.23107,14.33354
211.22808,12.70469
213.47303,15.50995
135.6725,13.10792
140.58954,4.06119
122.68488,7.47319
118.37183,14.61253
148.46437,13.61489
209.84476,5.53867
217.66395,7.2750943
246.84412,11.46714
141.65059,7.95449
233.42942,15.00728
233.64592,15.20006
197.882,8.74319
242.39871,8.9567
238.55794,14.60121
149.72233,15.38
160.53142,13.747
213.67051,13.378171
143.51133,9.47921
159.14919,5.91058
131.18104,10.47203
210.0008,7.76491
209.2309,14.142252
237.93638,12.74235
159.08883,13.71142
233.53292,14.395
240.07426,15.75657
208.93007,5.78137
217.46069,13.799658
209.05,5.01447
151.86539,12.27451
211.52704,11.788836
119.90754,13.433544
154.30299,13.19205
166.98658,8.00078
175.07712,9.00989
167.48308,10.72083
241.19762,14.28716
118.57108,14.273
235.81678,9.72396
210.94343,14.868105
166.63377,11.38542
139.19929,11.45269
237.23796,7.22231
239.41886,15.874586
235.30042,15.57306
225.33304,9.15097
149.65096,13.25528
125.1393,4.57168
118.43489,13.33742
134.10039,13.18228
120.65774,9.50009
240.97422,14.63431
218.1831,9.8917168
241.74146,10.75117
242.33646,8.76325
220.74168,4.88947
215.61438,15.08507
143.08787,10.80922
216.92735,13.906888
171.16803,14.94651
125.51504,8.75261
218.22305,11.595058
146.70396,9.73613
165.00992,14.84158
235.77533,15.77049
208.27263,15.84455
145.96239,9.65613
228.30456,7.22551
152.65497,5.15067
218.35141,4.45046
246.80733,12.97975
139.19833,9.89133
134.95436,5.06086
208.74358,5.33372
173.1454,14.18923
125.07104,4.70339
157.31454,6.12808
120.00573,8.00615
121.77483,8.04803
217.98913,6.25042
172.53108,9.27664
130.73116,13.64311
120.31921,9.26482
162.83306,14.02344
168.1659,9.05584
146.6899,9.26437
218.31061,13.842711
177.08382,12.71657
211.22383,12.72169
241.25813,13.70122
229.85535,11.054538
144.64358,8.88793
240.54847,7.0861
222.72898,4.9489156
149.26352,15.57827
211.25759,11.01188
210.64758,14.535047
239.31434,5.99838
241.84137,10.36614
149.93122,11.66075
215.34765,11.270793
143.50054,10.02953
145.47471,11.63251
157.44496,13.01817
217.19761,13.8212
233.9153,12.6064
232.01808,12.00338
145.54783,4.67314
171.64187,11.44008
130.38276,4.98034
209.48425,7.4335833
145.87419,9.42077
216.09657,13.798442
176.5515,10.59553
211.426,12.241932
176.69283,14.53306
174.37805,15.486344
122.76984,6.2986
170.66663,13.33053
146.37237,9.6028969
120.60295,9.59714
246.14722,11.47142
211.38004,12.44653
169.16178,15.7275
244.11714,14.887378
120.7328,15.48517
144.87221,6.22925
234.40135,5.97342
119.65511,15.06912
118.84351,15.09444
120.11662,7.81581
146.34463,9.76733
153.92546,7.32786
210.21868,6.48637
242.16508,12.01058
222.17739,12.45722
210.79105,12.170402
209.144,10.19122
150.26403,4.61927
141.31427,10.88673
247.43378,11.84712
120.54561,9.3616154
233.61225,12.271
137.34393,15.613664
125.60333,5.00222
121.06271,8.73197
154.5637,7.03884
139.04596,6.32944
141.23919,11.54153
209.46762,7.4135
177.05333,13.209376
232.62992,14.71053
162.722,13.41213
173.57568,15.59595
173.78454,15.95863
169.73317,13.09222
121.85341,6.8632091
243.60454,10.51501
246.06186,12.855839
160.91213,14.87186
120.11898,15.4531
214.32819,12.585529
236.80693,10.751978
143.21625,12.28689
200.02883,14.54326
212.20591,10.79594
125.6837922,8.2189394
128.91161,4.75703
235.01417,13.9775
155.95217,12.62983
215.87084,14.283182
131.17771,9.80086
146.62926,15.88632
160.99042,11.70381
148.70652,9.27109
198.09088,12.17324
158.67834,11.19735
242.59842,10.210955
208.54694,5.22744
241.35004,7.07803
141.0607,11.1106
174.81137,14.99243
163.80257,5.86256
208.90415,15.97067
234.71542,12.08065
171.10862,11.34222
162.80971,5.84003
211.88935,14.63385
177.18333,14.05291
173.90164,15.975044
177.1352,12.705293
161.92667,13.98564
165.07737,13.90122
125.96657,14.751718
153.61906,15.90293
175.24482,11.471141
215.32782,12.50596
211.2751,9.33917
139.73167,14.30492
150.76442,10.74595
210.22019,7.8400527
133.97033,13.56336
208.29021,4.96094
209.67394,6.6950132
176.74874,13.87343
209.93787,8.1411782
237.25523,5.18608
156.42257,11.73928
166.73596,7.17392
135.26342,11.09839
168.30211,5.19633
170.07089,13.589687
151.4633,12.9613
235.72153,14.23147
226.97213,8.4374
146.03555,11.25413
202.21754,11.097
174.96988,8.87453
143.77418,9.6492
162.07036,12.62927
210.37184,9.15372
246.72285,11.65203
218.88867,12.90825
210.1294,8.64982
153.78487,5.24336
130.8625,4.43319
155.40937,12.576123
120.95908,10.5485
246.56444,11.739889
217.07677,13.78023
148.85735,7.66045
209.9505,11.32603
142.54304,7.90275
211.29331,11.77137
200.1592,9.78715
147.61414,12.7655
242.73741,10.016609
151.19861,5.3685969
235.35369,11.984979
177.97902,5.84013
170.57465,12.72253
246.35284,11.713698
131.92372,13.41912
125.87775,10.04553
240.62512,5.67192
143.61103,9.91644
120.69982,7.4316157
130.81667,13.08586
217.2948,13.980956
145.59735,14.63006
243.8522,9.05033
241.32683,15.16644
241.16523,15.06609
210.50054,10.83061
159.34733,12.15656
120.86518,9.7099648
218.34042,6.87806
155.04168,6.95257
149.69642,11.38869
147.86571,7.26369
120.24837,15.62478
120.16892,12.063836
176.51688,11.58131
225.05707,9.93776
237.75661,10.03056
128.5725,14.54792
239.33569,15.791063
119.77732,9.8544131
242.07196,7.5385
120.41803,15.644755
120.1803,8.6388137
156.47119,14.363159
134.01659,13.422027
125.50821,4.39273
147.5275,12.81364
140.13714,10.60031
120.15858,13.656393
241.11026,14.75707
176.34281,14.36659
120.6266,9.0759992
166.76396,12.06006
210.90108,15.273424
155.96613,9.98747
212.19485,4.9097847
241.40508,14.41148
243.53291,10.732959
177.378,12.677094
209.98137,7.7472675
148.48117,7.04656
149.62733,10.183
177.88333,4.8525
149.0499,15.700877
120.5503,10.542811
131.13479,9.16591
120.3994139,8.10015565
149.2515,15.555658
177.12777,12.7298
147.74511,10.80159
137.67431,7.20671
225.57009,6.34487
174.98127,13.46723
138.89604,10.46753
211.13667,11.18981
141.45207,11.45423
153.8122369,4.29185993
147.26954,13.88075
143.51304,11.0058
246.60061,13.117134
137.77322,9.34956
237.96312,5.97367
149.67404,5.26436
155.78637,8.97978
160.70188,13.45983
211.0536,8.517225
146.37615,6.37682
167.86778,6.9075
164.57071,4.79219
145.12836,7.48943
131.66652,13.21369
139.90957,13.853431
138.10778,9.9555
173.13833,14.20083
211.71467,13.80594
155.4774,11.46552
233.92013,15.549004
210.77685,8.24183
132.01196,13.086204
232.23657,13.213389
157.10305,6.23858
241.14209,10.951197
125.55655,4.1977
214.93639,9.36248
216.39163,13.81649
154.54282,7.14298
210.62425,10.7081
121.77666,7.8829025
174.23694,15.52897
213.67157,15.512802
218.91629,13.16994
120.20161,10.083603
130.70089,14.26525
198.07272,12.86835
241.68767,11.88806
209.64404,6.5740703
246.29535,11.880133
137.01031,13.647098
217.96867,8.933
149.31883,4.52697
240.97165,14.510548
242.06699,10.108685
234.55844,7.4618632
152.84766,13.77825
211.63296,6.02969
116.8472417,8.83317913
161.97471,10.89781
231.89492,6.900513
121.44801,8.3193416
120.39337,12.084305
150.27149,14.947636
211.41688,13.375
210.85071,11.15408
235.72005,15.175247
131.09124,9.53728
119.7533678,7.29390326
231.52323,9.2041451
146.91083,4.82167
179.08249,6.17269
217.93404,6.15814
123.05933,4.0735
211.36455,12.23184
121.73206,6.55415
138.78346,11.764087
240.67624,15.236851
130.89636,13.062973
240.96857,8.34256
216.58924,10.16334
214.0531514,13.45494512
210.80384,9.52293
235.82297,9.6988525
120.3937,9.3048511
176.47955,13.51619
211.19725,8.8009221
141.35346,11.07378
165.15467,4.06531
140.4575,9.53803
231.05353,11.693884
148.67539,4.97542
211.16961,12.14395
147.74625,4.27222
211.37233,11.58544
147.91875,14.03778
246.15489,12.552621
121.40704,6.99317
170.57733,13.06505
198.29618,9.6796
175.5052326,13.69873848
208.01405,7.62087
222.90949,9.0612108
120.22858,13.39678
236.6065,4.42764
172.06089,11.39438
173.38112,12.13732
130.64621,10.58511
239.34008,15.827341
138.82912,10.65032
213.84258,14.25036
216.93364,13.441846
210.47863,9.3788782
141.31618,11.59689
198.24314,12.47798
145.47458,11.65453
151.79575,12.65136
230.23204,10.49167
210.82399,10.06121
170.48653,10.49872
211.37512,13.04439
241.07966,14.759983
179.01029,6.67794
166.80702,6.41168
174.41345,8.86412
211.20356,11.698593
211.8388449,12.71966873
128.9645039,7.46277352
120.056,13.155076
132.48443,10.719072
230.931,10.92922
209.09757,10.103817
134.6424,13.928279
146.96487,8.83539
123.71505,6.17474
144.12743,15.548767
129.12627,5.167
209.31898,15.882098
224.19833,9.50889
134.62435,6.32126
235.84987,14.43581
238.18612,8.36454
241.67084,6.58093
231.85791,11.284027
153.90285,6.34782
146.95067,10.87005
211.42679,12.07408
114.5198865,15.98763635
241.24517,8.45369
212.07258,12.46811
146.58537,5.68717
130.06078,5.63523
128.65497,4.47118
138.87227,11.773761
146.08078,9.98462
211.35171,7.61061
209.13073,8.353305
125.60803,4.16325
198.86039,11.58559
241.1699,11.040988
204.5525,15.86319
170.68547,13.34531
241.14319,14.93107
174.55404,12.11192
247.1615,13.399325
145.67871,9.45614
171.4728,9.98749
138.12477,12.586585
211.06601,4.11219
143.78115,5.12007
176.48383,13.83919
224.36217,8.9547017
159.53332,10.38086
145.73377,9.47514
147.27491,9.0881
161.33939,13.714204
172.30177,11.8655
167.72714,9.6218293
167.34713,10.83408
172.68121,6.88349
234.194,7.83358
243.29764,9.8311159
239.85335,10.461566
150.77313,11.44639
216.74907,8.6836224
139.95417,4.48469
120.59141,10.151851
176.49466,13.79123
146.46037,8.90933
209.26765,14.10153
235.69206,12.060367
118.81721,15.06003
151.988,13.22742
131.69574,13.163999
166.06079,5.12683
241.52018,14.417885
138.30708,11.771323
141.07758,4.23781
214.72762,13.8145
234.7262,8.5937114
171.2132,14.79579
198.33157,10.19392
175.114,15.40122
230.75375,4.52944
167.62341,13.76615
155.3334,12.1757
155.81931,9.22504
153.49546,7.024
120.44239,9.9535966
120.30428,11.623539
168.25088,7.86186
141.91082,11.62072
213.95984,10.961308
120.52729,9.3773177
234.83347,15.38433
146.01212,9.37421
211.35152,15.578614
146.6705,14.197766
120.69643,13.75865
120.41679,8.5896487
176.19041,9.21299
220.7618,4.76567
169.53637,4.61611
213.34792,13.07889
236.61295,8.65691
216.13649,13.79908
165.07971,6.24156
237.5115628,12.49174781
245.945,11.7398
144.04652,7.9919
119.37525,15.69957
140.00726,7.05624
156.16713,14.756765
239.35754,15.908513
151.54508,11.10058
240.0651,15.769222
175.94216,13.70757
123.90917,5.25611
211.44461,7.6979117
178.4334,7.79242
215.50392,11.38056
173.66088,15.62164
221.98433,5.40597
198.4323,12.77133
148.1463,8.19906
214.28465,13.6871
221.8685,12.76499
143.64224,13.005742
146.58517,5.69184
174.80642,15.03769
242.69317,9.5413099
135.59544,12.998105
208.91146,4.98506
201.88987,11.73017
128.21259,14.291823
176.37338,10.20164
117.3059294,12.7641342
219.78787,4.55181
245.22323,10.563788
120.61995,8.2207076
120.58291,11.627941
217.31246,5.98539
177.17806,8.04649
120.07591,13.548415
197.34658,6.99633
120.1351,12.053155
144.50275,6.92437
246.96197,13.58663
125.08868,4.57238
213.33055,14.01176
168.06432,8.628677
210.19666,9.5603491
147.16379,11.76947
241.71256,8.15797
205.50751,14.70937
245.38763,9.9978573
236.41426,9.7485034
137.2863,14.642831
121.8035,7.01706
213.32104,14.0271
203.9397,8.96907
210.81378,9.4291603
166.4336547,6.21748665
242.11263,10.896037
218.08665,9.9335253
220.46654,5.92244
167.28417,4.06
176.73307,15.94008
143.30383,10.33167
209.32437,6.18223
218.03418,6.18975
241.16754,14.628786
176.996,10.1405
119.61476,11.027424
159.3917749,12.46497173
217.41855,4.06237
242.1803932,10.36718658
212.08446,11.60858
175.98558,11.94058
209.54204,6.49169
209.13783,8.6092339
219.32171,8.03828
198.76854,7.1634324
150.57179,4.96089
241.11054,14.722185
133.95823,13.158306
121.63663,10.130069
131.69705,13.7068
159.12759,5.01733
233.28279,10.91811
210.8663,12.162541
120.6241,9.4620206
148.04725,8.73632
146.48285,5.04955
134.84833,11.13528
117.5914604,11.80557568
145.7577876,9.25259063
176.52574,10.87119
224.65772,6.7751584
157.2003,4.23475
211.02658,11.20289
225.97634,5.9770418
217.04523,13.551591
136.64288,6.30381
130.19038,13.706766
143.46367,10.15941
240.94164,11.742193
224.58052,9.0757448
211.43804,13.79092
243.71455,9.6733211
236.15549,10.630524
209.2583,7.1131466
120.55057,8.9381307
203.65746,8.79361
170.77833,13.88683
233.69412,12.447246
228.42425,6.9342541
129.92554,5.3835057
206.35908,7.6097228
213.30021,13.97589
145.94058,14.679998
142.56165,8.28307
239.465,15.844434
206.344,11.36972
143.34753,9.48825
174.96937,8.3254204
234.95208,8.44611
